,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2017-12-17,41.0,66.0,56.0,47.0,47.0,40.0,48.0,38.0,31.0
2017-12-24,54.0,71.0,48.0,42.0,41.0,26.0,61.0,38.0,35.0
2017-12-31,41.0,38.0,43.0,52.0,71.0,39.0,53.0,30.0,28.0
2018-01-07,56.0,32.0,51.0,49.0,68.0,82.0,44.0,25.0,25.0
2018-01-14,54.0,38.0,48.0,51.0,59.0,57.0,41.0,30.0,27.0
2018-01-21,36.0,38.0,49.0,59.0,64.0,61.0,33.0,33.0,28.0
2018-01-28,50.0,44.0,63.0,61.0,72.0,25.0,36.0,33.0,27.0
2018-02-04,68.0,52.0,50.0,76.0,66.0,34.0,35.0,35.0,27.0
2018-02-11,60.0,41.0,58.0,65.0,71.0,75.0,38.0,24.0,26.0
2018-02-18,55.0,35.0,61.0,69.0,80.0,62.0,27.0,35.0,33.0
2018-02-25,54.0,38.0,39.0,52.0,66.0,38.0,24.0,54.0,24.0
2018-03-04,56.0,40.0,55.0,63.0,78.0,58.0,32.0,40.0,17.0
2018-03-11,43.0,69.0,45.0,54.0,72.0,40.0,25.0,34.0,21.0
2018-03-18,53.0,77.0,49.0,62.0,68.0,22.0,27.0,29.0,29.0
2018-03-25,52.0,79.0,52.0,63.0,72.0,70.0,26.0,31.0,25.0
2018-04-01,50.0,84.0,49.0,63.0,72.0,37.0,27.0,25.0,24.0
2018-04-08,48.0,41.0,51.0,62.0,75.0,61.0,28.0,31.0,20.0
2018-04-15,51.0,55.0,47.0,58.0,64.0,31.0,20.0,39.0,22.0
2018-04-22,45.0,45.0,49.0,68.0,63.0,51.0,27.0,34.0,23.0
2018-04-29,48.0,37.0,56.0,100.0,70.0,66.0,27.0,42.0,20.0
2018-05-06,51.0,41.0,52.0,88.0,87.0,88.0,25.0,32.0,25.0
2018-05-13,51.0,40.0,80.0,74.0,61.0,35.0,20.0,38.0,26.0
2018-05-20,48.0,36.0,58.0,54.0,58.0,39.0,21.0,43.0,19.0
2018-05-27,49.0,46.0,48.0,57.0,54.0,48.0,24.0,51.0,21.0
2018-06-03,45.0,37.0,50.0,51.0,56.0,60.0,21.0,65.0,22.0
2018-06-10,37.0,36.0,49.0,55.0,67.0,39.0,19.0,53.0,13.0
2018-06-17,63.0,32.0,43.0,53.0,58.0,35.0,19.0,48.0,20.0
2018-06-24,37.0,30.0,50.0,44.0,58.0,41.0,24.0,50.0,20.0
2018-07-01,36.0,38.0,46.0,55.0,53.0,22.0,18.0,35.0,21.0
2018-07-08,58.0,44.0,41.0,50.0,54.0,34.0,17.0,25.0,16.0
2018-07-15,65.0,35.0,54.0,55.0,65.0,31.0,19.0,25.0,14.0
