,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2018-08-19,78.0,25.0,30.0,81.0,73.0,68.0,75.0,48.0,29.0
2018-08-26,92.0,30.0,29.0,86.0,76.0,80.0,57.0,60.0,40.0
2018-09-02,48.0,28.0,24.0,79.0,77.0,65.0,61.0,62.0,29.0
2018-09-09,75.0,38.0,31.0,78.0,88.0,44.0,72.0,56.0,34.0
2018-09-16,69.0,35.0,32.0,78.0,93.0,47.0,64.0,60.0,35.0
2018-09-23,78.0,33.0,22.0,77.0,93.0,63.0,75.0,72.0,27.0
2018-09-30,53.0,33.0,24.0,97.0,78.0,74.0,69.0,64.0,35.0
2018-10-07,67.0,21.0,33.0,91.0,89.0,23.0,63.0,69.0,33.0
2018-10-14,50.0,28.0,24.0,74.0,78.0,80.0,42.0,63.0,26.0
2018-10-21,78.0,45.0,26.0,82.0,77.0,44.0,36.0,44.0,25.0
2018-10-28,63.0,34.0,31.0,76.0,83.0,85.0,36.0,59.0,29.0
2018-11-04,68.0,32.0,32.0,77.0,78.0,60.0,48.0,58.0,24.0
2018-11-11,61.0,28.0,28.0,69.0,82.0,41.0,38.0,62.0,24.0
2018-11-18,70.0,30.0,26.0,74.0,71.0,56.0,43.0,50.0,30.0
2018-11-25,69.0,32.0,24.0,70.0,79.0,32.0,36.0,56.0,17.0
2018-12-02,67.0,23.0,37.0,65.0,62.0,19.0,35.0,57.0,30.0
2018-12-09,54.0,27.0,28.0,67.0,66.0,31.0,42.0,73.0,16.0
2018-12-16,57.0,34.0,22.0,65.0,72.0,31.0,41.0,61.0,23.0
2018-12-23,68.0,31.0,18.0,59.0,44.0,33.0,34.0,50.0,18.0
2018-12-30,65.0,27.0,18.0,60.0,40.0,22.0,44.0,62.0,31.0
2019-01-06,54.0,23.0,24.0,78.0,57.0,31.0,27.0,44.0,25.0
2019-01-13,39.0,23.0,25.0,74.0,68.0,28.0,36.0,37.0,24.0
2019-01-20,49.0,27.0,30.0,73.0,66.0,37.0,31.0,41.0,23.0
2019-01-27,72.0,25.0,26.0,89.0,67.0,34.0,35.0,43.0,25.0
2019-02-03,73.0,17.0,35.0,81.0,61.0,25.0,29.0,52.0,16.0
2019-02-10,74.0,26.0,26.0,79.0,66.0,25.0,33.0,55.0,24.0
2019-02-17,87.0,40.0,29.0,87.0,73.0,24.0,34.0,47.0,18.0
2019-02-24,75.0,31.0,33.0,80.0,70.0,21.0,33.0,54.0,25.0
2019-03-03,70.0,30.0,29.0,79.0,76.0,53.0,40.0,56.0,26.0
2019-03-10,76.0,32.0,42.0,80.0,80.0,48.0,41.0,65.0,28.0
2019-03-17,91.0,32.0,100.0,79.0,68.0,47.0,26.0,50.0,26.0
2019-03-24,100.0,40.0,42.0,82.0,70.0,45.0,36.0,76.0,25.0
2019-03-31,56.0,48.0,41.0,81.0,75.0,53.0,41.0,56.0,23.0
2019-04-07,45.0,45.0,37.0,80.0,88.0,46.0,35.0,65.0,23.0
2019-04-14,67.0,69.0,46.0,74.0,60.0,46.0,40.0,52.0,23.0
2019-04-21,69.0,43.0,34.0,72.0,67.0,26.0,52.0,47.0,23.0
2019-04-28,75.0,31.0,32.0,82.0,74.0,46.0,44.0,69.0,22.0
2019-05-05,58.0,34.0,41.0,84.0,87.0,53.0,43.0,59.0,23.0
2019-05-12,77.0,35.0,37.0,85.0,86.0,70.0,50.0,66.0,36.0
2019-05-19,73.0,39.0,23.0,90.0,89.0,56.0,52.0,67.0,30.0
2019-05-26,70.0,26.0,32.0,73.0,76.0,27.0,56.0,64.0,30.0
2019-06-02,66.0,25.0,34.0,76.0,81.0,38.0,65.0,65.0,31.0
2019-06-09,58.0,31.0,21.0,86.0,76.0,17.0,68.0,60.0,34.0
2019-06-16,64.0,41.0,29.0,80.0,59.0,51.0,80.0,59.0,26.0
2019-06-23,61.0,38.0,31.0,97.0,85.0,31.0,60.0,68.0,32.0
2019-06-30,55.0,37.0,32.0,92.0,81.0,65.0,85.0,64.0,29.0
2019-07-07,54.0,27.0,24.0,89.0,86.0,72.0,86.0,77.0,43.0
2019-07-14,60.0,23.0,26.0,87.0,65.0,46.0,61.0,66.0,32.0
2019-07-21,74.0,39.0,38.0,78.0,74.0,54.0,55.0,51.0,29.0
2019-07-28,66.0,39.0,33.0,90.0,81.0,35.0,75.0,66.0,51.0
2019-08-04,50.0,30.0,32.0,81.0,86.0,58.0,63.0,72.0,34.0
2019-08-11,50.0,30.0,33.0,80.0,79.0,37.0,66.0,61.0,32.0
2019-08-18,80.0,34.0,33.0,88.0,91.0,47.0,62.0,84.0,25.0
2019-08-25,69.0,29.0,28.0,88.0,80.0,48.0,71.0,65.0,38.0
2019-09-01,59.0,30.0,31.0,82.0,79.0,63.0,65.0,66.0,27.0
2019-09-08,51.0,30.0,38.0,82.0,75.0,70.0,63.0,58.0,44.0
2019-09-15,60.0,26.0,31.0,85.0,90.0,44.0,59.0,64.0,26.0
2019-09-22,75.0,34.0,28.0,87.0,79.0,59.0,66.0,58.0,32.0
2019-09-29,63.0,28.0,34.0,80.0,76.0,51.0,58.0,49.0,39.0
2019-10-06,59.0,33.0,33.0,86.0,78.0,37.0,48.0,69.0,30.0
2019-10-13,53.0,27.0,35.0,81.0,94.0,93.0,43.0,58.0,29.0
2019-10-20,56.0,50.0,26.0,82.0,85.0,65.0,35.0,49.0,35.0
2019-10-27,71.0,37.0,35.0,72.0,74.0,69.0,50.0,58.0,29.0
2019-11-03,39.0,32.0,24.0,84.0,83.0,53.0,34.0,59.0,24.0
2019-11-10,55.0,29.0,29.0,73.0,90.0,68.0,38.0,61.0,25.0
2019-11-17,51.0,30.0,29.0,78.0,69.0,66.0,33.0,64.0,26.0
2019-11-24,67.0,30.0,21.0,67.0,70.0,30.0,37.0,69.0,28.0
2019-12-01,37.0,32.0,19.0,78.0,73.0,20.0,36.0,66.0,29.0
2019-12-08,47.0,26.0,24.0,66.0,59.0,38.0,34.0,75.0,26.0
2019-12-15,55.0,31.0,32.0,79.0,67.0,48.0,37.0,55.0,33.0
2019-12-22,59.0,44.0,22.0,58.0,54.0,38.0,50.0,53.0,24.0
2019-12-29,43.0,34.0,25.0,65.0,57.0,17.0,38.0,53.0,26.0
2020-01-05,50.0,25.0,30.0,68.0,53.0,27.0,39.0,52.0,18.0
2020-01-12,53.0,29.0,29.0,75.0,67.0,29.0,28.0,60.0,22.0
2020-01-19,45.0,19.0,29.0,76.0,71.0,26.0,29.0,50.0,25.0
2020-01-26,50.0,24.0,29.0,63.0,67.0,20.0,32.0,47.0,19.0
2020-02-02,54.0,23.0,31.0,76.0,59.0,35.0,29.0,36.0,32.0
2020-02-09,61.0,20.0,35.0,75.0,65.0,35.0,35.0,50.0,24.0
2020-02-16,63.0,35.0,35.0,86.0,67.0,36.0,34.0,59.0,25.0
2020-02-23,74.0,32.0,43.0,83.0,83.0,42.0,41.0,49.0,32.0
2020-03-01,81.0,36.0,38.0,87.0,85.0,67.0,40.0,55.0,37.0
2020-03-08,97.0,39.0,31.0,75.0,75.0,100.0,58.0,70.0,46.0
